age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,length_of_stay,class
51,1,3,1,1,1,0,-1.0,1,-1,0
52,1,0,1,1,1,7,-1.0,3,0,1
25,0,0,0,1,1,3,-1.0,3,5,1
27,0,2,0,1,0,6,-1.0,3,1,1
39,0,2,0,1,1,0,-1.0,1,2,1
40,1,3,0,1,1,0,0.0,1,0,0
33,0,2,0,1,1,1,-1.0,2,0,0
26,1,2,0,0,1,10,0.0,8,0,1
24,1,2,2,0,1,9,-23.0,10,10,1
55,1,0,1,1,1,0,-1.0,1,0,1
24,0,2,2,1,1,0,-1.0,2,0,1
24,0,2,2,0,1,6,0.0,10,7,0
30,0,0,0,2,0,4,-1.0,6,1,0
28,0,0,0,0,1,21,-1.0,10,1,0
53,0,2,1,1,1,9,-1.0,4,117,1
23,0,0,2,2,1,1,0.0,6,0,1
47,0,0,1,1,1,4,-1.0,4,0,1
26,0,2,0,2,1,0,0.0,5,0,0
45,0,0,1,1,1,6,0.0,4,1,0
31,0,0,0,0,1,9,0.0,8,0,1
33,1,2,0,1,0,1,0.0,1,0,0
23,0,2,2,2,1,4,0.0,6,-1,1
26,1,2,0,2,1,4,0.0,7,293,1
22,0,0,2,2,1,1,-1.0,7,0,1
28,1,0,0,0,0,5,-1.0,8,2,0
27,0,0,0,0,1,15,-1.0,10,30,1
36,1,0,0,1,0,0,0.0,1,0,0
36,0,0,0,1,0,4,-13.0,2,0,0
24,0,5,2,1,0,0,-1.0,3,1,0
30,1,2,0,1,1,0,0.0,4,56,0
23,1,0,2,2,0,6,-18.0,7,17,0
21,0,2,2,0,1,5,-10.0,8,1,1
37,1,2,0,1,1,0,-1.0,3,1,0
29,0,5,0,1,1,0,-1.0,1,1,0
51,1,2,1,1,1,1,-1.0,2,1,1
35,0,0,0,2,0,2,-15.0,6,14,0
53,1,5,1,1,1,0,0.0,1,0,0
21,0,0,2,0,1,0,-1.0,9,5,0
53,0,2,1,1,0,0,0.0,1,1,0
29,0,5,0,2,1,3,-1.0,6,177,0
65,0,2,1,1,0,1,-1.0,1,-1,0
25,0,0,0,0,1,2,-1.0,9,1,0
50,0,2,1,1,0,2,-1.0,1,0,1
32,0,2,0,0,1,4,-1.0,10,0,1
22,1,3,2,1,1,0,-1.0,3,0,0
24,0,0,2,1,1,0,-1.0,4,2,0
22,1,2,2,1,0,0,0.0,3,-1,0
20,1,0,2,2,0,0,-1.0,7,1,1
27,0,2,0,2,1,2,0.0,5,0,0
29,1,0,0,1,1,0,0.0,2,1,0
34,0,0,0,0,1,16,-1.0,9,1,1
58,1,2,1,1,1,0,0.0,1,0,0
23,0,0,2,0,1,3,-1.0,9,44,1
29,1,2,0,1,1,1,-1.0,3,0,0
37,0,3,0,1,1,3,-1.0,1,83,1
28,0,0,0,2,1,4,-1.0,7,29,0
54,0,2,1,1,1,6,0.0,1,0,0
21,0,0,2,0,1,3,-1.0,10,0,1
33,1,5,0,1,1,0,-1.0,2,0,0
27,0,0,0,2,0,2,-1.0,6,4,1
20,0,0,2,1,1,0,-1.0,4,1,0
24,1,0,2,0,1,0,-1.0,8,1,1
51,0,0,1,0,1,17,-2.0,8,0,1
35,0,0,0,0,1,12,-1.0,8,0,1
34,0,0,0,1,1,0,-1.0,1,1,0
20,0,2,2,1,1,0,0.0,3,0,1
54,0,2,1,1,1,2,0.0,2,97,0
56,0,0,1,1,0,1,-1.0,1,1,0
60,0,2,1,1,0,9,0.0,3,384,1
23,0,2,2,0,1,6,0.0,9,5,1
58,0,2,1,2,1,2,-1.0,5,5,0
24,1,0,2,0,1,1,-1.0,9,123,1
26,0,2,0,1,1,0,-1.0,2,1,0
28,1,2,0,1,1,0,-1.0,2,0,1
58,1,2,1,1,1,8,-1.0,2,1,0
58,1,0,1,1,1,0,-1.0,1,1,0
23,1,0,2,2,1,1,-1.0,7,27,1
55,0,2,1,0,1,33,-1.0,9,242,1
42,0,2,0,1,1,0,-1.0,4,0,0
23,0,2,2,0,1,0,0.0,9,18,1
21,0,0,2,1,1,0,0.0,4,2,0
26,0,0,0,2,0,3,-1.0,5,0,0
40,1,0,0,2,0,2,-1.0,5,100,0
29,0,3,0,1,1,0,0.0,2,-1,0
31,0,0,0,1,1,2,-1.0,2,2,0
22,0,3,2,2,1,0,-1.0,6,1,0
20,0,0,2,2,1,2,0.0,6,58,1
23,0,0,2,1,1,1,0.0,4,0,0
38,0,3,0,1,1,0,0.0,2,1,0
49,1,2,1,2,1,12,-24.0,5,21,0
46,1,2,1,2,1,9,0.0,5,4,0
32,1,0,0,1,0,0,-1.0,2,0,0
24,0,0,2,0,0,3,-1.0,10,1,1
24,1,0,2,0,1,1,-1.0,9,6,1
22,0,5,2,2,1,0,-1.0,5,6,1
28,0,3,0,1,1,0,0.0,4,0,0
29,1,2,0,2,1,4,-1.0,6,7,1
66,1,2,1,1,1,0,-1.0,1,1,0
41,0,0,0,1,1,8,0.0,1,2,1
22,0,0,2,0,1,5,-1.0,8,19,1
31,1,2,0,2,1,4,-1.0,7,26,1
22,1,2,2,0,0,1,-1.0,8,17,0
20,0,0,2,1,1,0,0.0,3,-1,0
36,1,3,0,2,1,1,-1.0,5,3,0
25,1,3,0,2,1,6,-1.0,7,39,1
23,0,0,2,2,1,0,-1.0,5,3,0
29,0,0,0,2,1,2,-1.0,5,1,0
31,1,2,0,1,1,3,0.0,3,0,1
23,0,0,2,1,1,0,-1.0,4,3,0
40,0,2,0,2,1,4,0.0,7,1,0
35,0,0,0,2,1,10,-28.0,6,22,1
20,0,0,2,0,1,1,-1.0,10,109,1
54,0,0,1,1,1,8,0.0,1,-1,1
32,0,2,0,1,1,2,-1.0,2,0,0
26,0,5,0,2,1,0,-1.0,5,0,1
23,1,0,2,1,0,0,-1.0,4,1,0
61,1,0,1,1,1,20,-1.0,2,30,1
28,0,2,0,1,0,0,-1.0,4,0,1
22,0,0,2,0,1,1,0.0,9,103,1
38,0,2,0,0,1,17,-1.0,10,180,0
56,0,2,1,1,1,0,-1.0,1,1,0
40,0,5,0,2,1,8,-1.0,7,40,1
66,0,0,1,0,0,11,-1.0,8,5,1
21,1,3,2,2,1,1,-1.0,5,0,1
55,0,2,1,1,1,2,-1.0,1,1,0
41,0,0,0,2,1,8,-29.0,6,0,1
25,0,0,0,2,1,3,-1.0,7,1,0
23,0,0,2,0,1,3,-1.0,9,33,0
47,1,2,1,1,0,0,-6.0,3,4,1
34,0,1,0,1,0,1,-10.0,1,2,0
22,0,2,2,2,1,1,-12.0,6,11,0
22,0,2,2,2,1,1,-1.0,6,0,0
21,0,5,2,1,1,3,-1.0,2,0,1
35,1,2,0,1,1,0,-1.0,1,1,0
36,1,0,0,1,0,1,-1.0,2,1,0
27,0,3,0,2,1,1,-1.0,7,2,1
31,0,2,0,2,1,9,-1.0,6,470,1
29,0,0,0,1,1,0,0.0,4,0,0
40,0,0,0,0,1,15,-1.0,9,72,1
39,0,5,0,1,1,0,-1.0,1,0,0
53,1,5,1,1,1,0,-1.0,1,0,0
59,1,2,1,1,0,0,-2.0,1,0,0
25,1,0,0,2,1,6,-1.0,7,1,1
28,0,2,0,0,1,7,-1.0,9,1,1
33,0,0,0,1,1,0,-1.0,1,0,0
29,0,0,0,1,1,0,0.0,4,0,0
30,1,2,0,1,0,2,0.0,1,1,1
34,0,0,0,2,1,10,-1.0,7,1,0
50,1,0,1,1,0,7,-1.0,4,1,0
37,1,0,0,0,1,18,-1.0,9,1,0
23,0,2,2,0,1,0,-1.0,9,0,1
32,0,0,0,1,0,5,0.0,1,-1,0
27,0,2,0,2,1,0,-1.0,5,0,0
50,0,2,1,1,1,8,-14.0,2,11,0
30,0,0,0,1,1,0,-1.0,1,2,0
26,0,2,0,0,1,7,0.0,8,0,1
22,0,2,2,1,0,1,-1.0,3,0,0
74,0,2,1,1,1,2,-1.0,1,9,0
46,0,0,1,2,1,5,0.0,5,2,1
23,0,0,2,1,1,0,-1.0,2,1,0
23,0,0,2,2,1,3,0.0,7,43,1
25,0,0,0,0,1,5,-1.0,9,54,1
20,1,0,2,2,0,0,-1.0,5,0,0
24,0,0,2,1,1,0,0.0,4,0,0
26,0,0,0,1,1,2,-1.0,2,4,1
25,0,0,0,0,1,5,-1.0,10,236,1
30,0,2,0,1,1,0,0.0,4,1,0
26,1,0,0,0,1,9,-1.0,10,1,1
24,0,0,2,0,1,7,-1.0,8,68,1
21,0,3,2,2,1,3,-22.0,5,22,0
49,0,2,1,1,1,3,-1.0,1,0,0
21,1,0,2,0,1,0,0.0,9,97,1
31,0,2,0,1,0,1,-2.0,2,0,0
51,0,0,1,1,1,3,0.0,1,0,0
24,1,0,2,1,1,1,0.0,2,-1,1
20,0,0,2,1,1,1,-24.0,3,1,0
23,1,0,2,1,0,1,-1.0,4,0,0
59,0,2,1,1,1,2,-19.0,1,18,0
46,1,0,1,1,1,0,-1.0,1,0,0
31,0,2,0,1,1,3,-19.0,4,1,1
21,0,0,2,1,1,1,0.0,4,1,1
30,0,2,0,2,0,4,-1.0,6,29,0
28,1,0,0,1,1,0,0.0,1,0,0
59,0,0,1,0,1,14,-1.0,8,33,1
21,0,3,2,0,1,1,-1.0,8,55,1
25,1,0,0,0,0,1,-1.0,8,1,1
28,1,2,0,1,0,0,-1.0,2,0,0
45,0,3,1,1,1,0,0.0,1,1,0
29,0,3,0,2,1,17,0.0,6,2,1
25,1,0,0,2,1,3,0.0,6,7,0
25,1,0,0,1,0,1,-1.0,3,0,1
56,1,2,1,1,1,0,-2.0,1,0,1
20,1,0,2,1,1,0,-1.0,3,2,1
33,0,0,0,0,1,18,-1.0,9,0,1
21,0,3,2,2,1,1,-1.0,5,2,1
24,0,0,2,0,1,8,-1.0,9,0,1
71,0,2,1,1,1,13,-1.0,2,0,0
27,0,0,0,1,1,1,-1.0,4,8,0
60,0,3,1,1,1,0,-1.0,4,0,0
25,0,0,0,1,0,1,-13.0,3,13,0
24,0,2,2,2,1,1,-5.0,6,0,0
37,0,0,0,0,1,14,-1.0,8,1,0
24,0,2,2,2,0,0,0.0,5,0,0
49,0,2,1,1,1,0,0.0,1,-1,0
29,0,0,0,1,1,4,-1.0,2,1,0
27,0,0,0,2,1,2,-1.0,7,132,1
39,1,0,0,1,1,0,-3.0,3,0,0
31,0,2,0,1,1,0,-1.0,4,77,0
33,0,2,0,0,1,7,-1.0,8,1,1
34,1,0,0,1,1,1,-1.0,2,2,0
25,1,2,0,0,1,3,7.0,9,172,1
28,0,0,0,2,0,3,-16.0,5,16,0
27,1,0,0,0,1,13,-1.0,8,1,1
49,0,0,1,2,1,1,-1.0,5,5,0
39,0,2,0,1,1,1,-1.0,1,0,0
28,0,0,0,1,0,0,-1.0,3,191,0
44,0,0,0,1,1,7,0.0,4,1,0
47,1,2,1,1,1,0,-1.0,1,0,0
31,1,2,0,2,1,3,0.0,5,0,0
25,0,0,0,2,1,1,0.0,6,1,0
29,0,2,0,1,1,1,-22.0,3,0,0
28,0,0,0,1,1,0,-1.0,2,0,0
47,1,3,1,1,1,0,-1.0,1,1,0
41,0,0,0,1,1,3,-1.0,4,1,1
23,0,0,2,2,1,0,-1.0,7,3,0
25,0,0,0,2,1,6,0.0,7,0,1
31,0,0,0,1,0,0,-1.0,1,2,0
26,0,0,0,0,1,7,-1.0,10,2,1
20,0,2,2,0,1,4,-1.0,10,0,0
25,0,0,0,2,0,6,24.0,7,12,1
30,0,0,0,1,1,3,0.0,2,0,1
33,0,0,0,0,1,2,0.0,8,-1,1
23,0,0,2,1,1,2,-1.0,4,1,1
36,1,0,0,1,1,0,-1.0,3,1,1
27,0,2,0,0,1,0,0.0,9,0,1
24,0,5,2,1,1,0,-1.0,2,1,0
33,1,0,0,1,1,3,-1.0,2,1,1
25,0,0,0,2,1,4,-1.0,7,0,1
39,0,2,0,1,0,4,-2.0,1,1,1
34,0,0,0,1,0,6,-1.0,4,52,0
36,1,5,0,1,0,1,-1.0,1,0,0
34,1,2,0,1,1,1,0.0,1,0,0
30,0,2,0,1,1,1,-1.0,3,0,1
47,1,0,1,2,1,14,-1.0,6,31,0
25,1,0,0,1,1,0,-1.0,3,4,1
25,0,0,0,0,1,7,0.0,9,0,1
24,0,0,2,0,1,6,0.0,9,45,1
25,0,0,0,1,1,0,-1.0,2,0,0
26,1,0,0,1,1,1,-1.0,3,7,0
20,0,0,2,1,1,1,-1.0,2,2,0
35,0,2,0,1,1,1,-1.0,1,49,1
55,1,3,1,1,1,0,-7.0,1,5,0
25,0,5,0,0,1,0,-1.0,9,1,1
45,1,3,1,1,0,0,0.0,1,1,0
25,0,2,0,1,1,0,0.0,2,3,1
30,1,0,0,1,0,0,0.0,3,1,0
41,0,2,0,1,1,1,-1.0,2,1,1
22,1,2,2,1,1,0,-1.0,3,0,1
23,0,0,2,1,1,2,-1.0,2,1,1
27,1,0,0,0,1,27,0.0,10,0,1
22,0,0,2,0,1,1,0.0,10,0,1
28,0,3,0,0,1,3,-1.0,8,165,1
33,0,0,0,0,1,14,-1.0,10,1,1
32,1,0,0,0,1,2,0.0,8,109,0
33,1,0,0,1,1,2,-1.0,1,1,0
22,0,0,2,1,1,1,0.0,4,1,0
57,1,2,1,1,1,1,-1.0,4,1,0
28,0,0,0,2,1,5,-1.0,7,2,1
24,0,2,2,1,1,0,0.0,2,15,0
19,0,0,2,0,1,3,22.0,10,0,1
27,0,0,0,0,1,1,-1.0,8,1,0
26,1,2,0,0,1,3,0.0,10,0,0
56,1,2,1,1,1,2,-1.0,3,16,0
26,0,0,0,1,1,2,-1.0,3,2,1
51,1,0,1,1,1,0,-1.0,1,1,0
42,1,2,0,1,1,0,-1.0,3,2,0
36,1,0,0,1,1,2,-4.0,2,0,0
20,0,0,2,0,1,1,27.0,8,14,1
59,1,5,1,1,1,1,-25.0,1,0,0
31,1,0,0,2,0,0,-2.0,6,1,1
21,0,0,2,0,1,1,0.0,10,86,1
26,0,0,0,1,1,2,-23.0,4,0,0
29,0,2,0,1,1,2,-2.0,3,2,0
36,0,0,0,2,1,11,-1.0,6,36,1
42,0,0,0,2,1,0,0.0,5,7,1
28,0,0,0,1,1,2,-1.0,4,1,1
20,0,0,2,2,1,0,-1.0,6,1,1
21,1,2,2,1,1,0,-1.0,3,0,0
22,0,2,2,0,1,2,0.0,9,1,1
34,0,0,0,1,0,6,-1.0,3,0,0
24,0,5,2,1,0,0,-1.0,4,1,0
31,0,5,0,1,1,2,-1.0,2,13,1
24,0,0,2,1,1,0,-1.0,3,0,0
74,0,0,1,1,0,0,-1.0,1,0,0
47,0,0,1,2,1,3,0.0,5,11,1
32,0,2,0,2,1,0,0.0,5,7,0
67,1,2,1,1,1,0,0.0,1,0,0
36,0,0,0,1,1,2,0.0,1,-1,1
37,0,0,0,0,1,23,-1.0,9,17,1
27,0,2,0,2,1,0,-3.0,6,1,0
48,0,0,1,1,1,10,0.0,4,175,0
21,0,2,2,2,0,1,-1.0,6,1,0
21,1,2,2,2,0,0,-1.0,5,2,1
25,0,0,0,0,1,0,0.0,8,1,0
34,0,0,0,2,1,12,0.0,6,1,1
39,0,2,0,1,1,0,-1.0,4,-1,0
39,0,0,0,0,1,7,0.0,8,0,1
37,0,3,0,1,1,0,-1.0,3,2,1
26,1,2,0,1,1,3,-1.0,2,0,1
54,0,2,1,1,1,7,0.0,3,0,0
25,0,5,0,1,1,0,-1.0,2,20,1
35,0,0,0,1,0,5,-1.0,3,0,0
44,1,2,0,2,1,16,-1.0,7,81,0
24,0,0,2,1,1,0,-1.0,3,1,0
25,0,2,0,1,1,0,0.0,2,0,0
30,1,3,0,1,1,6,-10.0,3,0,1
29,0,0,0,1,1,4,-1.0,4,1,1
23,1,2,2,0,1,0,0.0,8,3,1
27,0,3,0,1,1,1,-1.0,2,1,0
20,0,0,2,0,1,1,-1.0,10,1,1
33,0,2,0,1,1,1,-4.0,4,3,0
36,0,0,0,2,1,11,-1.0,7,0,0
25,0,0,0,2,1,2,-1.0,7,49,1
32,0,2,0,1,0,1,-1.0,2,2,0
50,0,2,1,1,1,1,-4.0,1,1,0
36,0,0,0,2,1,6,-1.0,5,84,0
55,1,2,1,1,1,0,-1.0,1,0,0
25,1,0,0,1,1,0,-1.0,2,0,0
27,0,0,0,0,1,9,-1.0,10,799,1
38,0,3,0,1,0,0,-1.0,1,0,0
29,1,2,0,2,1,12,0.0,6,39,1
34,0,2,0,1,1,5,0.0,2,1,0
27,0,2,0,2,1,1,-1.0,6,14,1
20,0,0,2,0,1,0,-1.0,10,0,1
29,0,0,0,1,1,0,-1.0,2,1,0
46,0,2,1,2,1,26,-1.0,7,167,1
36,1,3,0,0,1,1,-8.0,10,39,1
32,0,0,0,0,1,17,-1.0,8,112,1
23,0,2,2,1,1,0,-1.0,2,5,0
67,1,0,1,2,1,4,-1.0,7,27,1
26,1,0,0,1,1,1,0.0,3,0,1
39,0,2,0,1,0,1,-1.0,4,39,0
31,0,0,0,2,1,15,-1.0,5,135,0
39,0,0,0,0,1,21,-1.0,10,0,1
29,0,2,0,2,1,6,-3.0,5,0,1
28,0,0,0,0,1,18,-1.0,10,12,1
51,1,0,1,2,1,8,-1.0,6,0,1
21,0,3,2,1,1,0,-1.0,3,1,1
49,0,2,1,1,1,0,-1.0,1,0,0
34,1,0,0,1,1,2,0.0,2,25,0
33,1,0,0,0,1,5,-1.0,9,1,1
28,1,5,0,1,0,0,-1.0,4,0,1
35,0,0,0,1,1,5,-1.0,3,0,0
37,1,5,0,1,0,0,-1.0,1,1,0
48,1,2,1,1,0,1,0.0,1,0,0
33,0,0,0,2,1,3,-1.0,5,3,1
29,1,2,0,1,0,0,-1.0,2,1,0
30,1,1,0,1,1,6,-1.0,3,0,0
66,0,2,1,1,1,0,-1.0,1,1,0
25,0,0,0,1,1,1,0.0,3,0,0
47,0,2,1,1,1,1,-1.0,1,1,0
52,0,2,1,0,1,2,0.0,9,4,1
21,1,4,2,2,1,0,-1.0,6,1,1
51,1,3,1,1,0,2,0.0,1,0,0
34,0,0,0,2,1,3,-1.0,6,0,1
31,0,0,0,0,1,6,0.0,8,0,0
31,0,2,0,1,1,6,-1.0,4,3,0
26,0,2,0,2,1,2,0.0,5,-1,0
38,0,0,0,1,1,4,0.0,3,-1,0
21,0,0,2,0,1,0,-1.0,8,2,0
36,1,3,0,0,1,1,-14.0,9,14,0
25,0,2,0,0,1,9,-1.0,9,87,1
37,0,0,0,1,0,0,-1.0,1,1,0
36,1,0,0,0,1,1,-1.0,9,1,0
21,0,0,2,2,1,3,0.0,5,-1,1
21,0,3,2,1,1,0,-1.0,3,0,1
47,1,2,1,1,1,0,-1.0,1,0,0
41,0,2,0,1,1,1,0.0,1,2,0
33,1,5,0,1,1,0,-1.0,1,1,0
58,0,5,1,1,1,0,0.0,1,0,0
30,0,0,0,2,1,8,-1.0,6,0,0
25,1,0,0,1,0,0,-1.0,2,0,0
33,1,0,0,0,1,9,-1.0,8,1,1
30,0,0,0,1,1,1,-1.0,2,83,0
22,0,0,2,2,1,3,-1.0,6,128,0
23,1,2,2,2,1,0,0.0,6,0,0
27,0,0,0,0,1,3,-1.0,9,7,1
54,1,2,1,1,1,2,-1.0,1,39,0
46,1,0,1,1,1,0,0.0,2,1,0
29,0,2,0,2,0,7,-1.0,6,8,1
54,0,0,1,0,1,28,-1.0,9,5,1
23,0,2,2,2,0,0,-1.0,6,11,0
25,1,0,0,1,1,0,0.0,2,0,1
46,0,2,1,1,1,14,-1.0,3,0,1
28,0,0,0,2,1,7,-1.0,7,1,1
35,1,0,0,0,1,1,-1.0,9,79,1
61,0,0,1,1,1,5,-13.0,2,12,0
28,1,0,0,2,1,6,-1.0,5,5,1
25,0,5,0,1,1,1,-1.0,3,1,0
36,0,0,0,0,1,10,-1.0,10,32,1
27,0,2,0,1,1,0,-1.0,3,4,0
32,1,3,0,1,1,0,-1.0,1,1,1
28,0,2,0,1,1,1,-21.0,1,0,1
38,0,2,0,1,1,5,-1.0,4,1,0
45,0,4,1,0,0,15,-1.0,10,1,1
34,0,2,0,1,1,0,-1.0,1,1,1
21,0,2,2,2,1,1,0.0,7,36,1
22,0,0,2,0,1,3,0.0,9,323,0
39,1,0,0,1,1,1,-1.0,4,4,0
24,0,2,2,2,1,2,-1.0,6,32,0
44,0,0,0,2,1,2,-1.0,5,2,0
25,0,0,0,1,1,1,-1.0,2,0,1
41,0,3,0,1,1,0,-2.0,3,0,0
27,0,0,0,2,1,2,-1.0,7,246,1
20,0,0,2,1,1,1,-1.0,4,1,1
55,0,0,1,1,1,0,-1.0,1,1,1
41,0,2,0,2,1,1,0.0,5,62,0
24,0,0,2,2,1,1,-1.0,7,1,1
42,1,2,0,1,1,1,-3.0,2,-1,0
27,0,0,0,2,0,4,-1.0,6,0,1
44,1,2,0,2,1,8,-1.0,5,4,1
27,1,0,0,1,1,0,0.0,2,1,0
25,1,0,0,2,1,2,-27.0,5,0,1
28,0,5,0,1,1,1,-1.0,3,1,1
47,0,0,1,0,1,14,-1.0,9,0,1
20,0,0,2,2,1,1,-1.0,7,0,1
29,0,0,0,0,1,4,-1.0,8,80,0
30,0,0,0,0,1,18,-1.0,10,61,1
23,0,0,2,2,1,0,-1.0,5,2,0
31,1,0,0,1,1,0,0.0,4,21,0
26,1,0,0,1,1,0,-1.0,2,2,0
30,1,2,0,1,1,0,-1.0,3,0,0
23,1,3,2,1,1,0,-1.0,2,1,1
60,0,0,1,1,1,12,-1.0,3,1,0
23,1,0,2,2,0,1,0.0,5,-1,0
24,1,3,2,1,0,0,0.0,4,0,0
25,0,2,0,1,1,1,-1.0,3,0,0
37,0,2,0,1,1,3,-1.0,4,38,0
20,0,0,2,1,1,0,-1.0,3,11,0
36,0,0,0,1,1,2,-2.0,3,1,0
32,0,2,0,1,0,2,-1.0,2,0,1
23,0,0,2,2,1,0,-1.0,7,2,0
33,1,0,0,1,1,2,0.0,3,0,0
21,0,0,2,2,1,0,-1.0,7,1,1
53,0,0,1,1,0,0,0.0,1,0,0
47,0,2,1,0,1,28,-1.0,9,33,1
25,1,2,0,1,1,0,-1.0,2,21,1
23,0,5,2,0,1,6,-1.0,8,84,1
